
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
  10 12 2020    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10    0.00    0.00    0.00    43.9    0.00
  10 24 2020    0.00    0.00    0.00    0.32    0.00    0.00    0.00    0.00   -0.32    0.00    0.00    0.00    44.2    0.00
  11 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05    0.00    0.00    0.00    44.3    0.00
  11 24 2020    0.00    0.00    0.00    0.49    0.00    0.00    0.00    0.00   -0.49    0.00    0.00    0.00    44.7    0.00
  12 12 2020    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22    0.00    0.00    0.00    45.0    0.00
  12 24 2020    0.00    0.00    0.00    0.76    0.00    0.00    0.00    0.00   -0.76    0.00    0.00    0.00    45.7    0.00
  13 12 2020    0.00    0.00    0.00    0.21    0.00    0.00    0.00    0.00   -0.21   -0.00    0.00    0.00    45.9    0.00
  13 24 2020    0.00    0.00    0.00    0.86    0.00    0.00    0.00    0.00   -0.86   -0.00    0.00    0.00    46.8    0.00
  14 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05   -0.00    0.00    0.00    46.9   -0.00
  14 24 2020    0.00    0.00    0.00    0.44    0.00    0.00    0.00    0.00   -0.44   -0.00    0.00    0.00    47.3   -0.00
  15 12 2020    0.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00   -0.15   -0.00    0.00    0.00    47.4    0.00
  15 24 2020    0.00    0.00    0.00    0.74    0.00    0.00    0.00    0.00   -0.74   -0.00    0.00    0.00    48.2    0.00
  16 12 2020    0.00    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   -0.00    0.00    0.00    48.2    0.00
  16 24 2020    0.00    0.00    0.00    0.19    0.00    0.00    0.00    0.00   -0.19   -0.00    0.00    0.00    48.4    0.00
  17 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   -0.00    0.00    0.00    48.4    0.00
  17 24 2020    0.00    0.00    0.00    0.38    0.00    0.00    0.00    0.00   -0.38   -0.00    0.00    0.00    48.8    0.00
  18 12 2020    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17   -0.00    0.00    0.00    49.0    0.00
  18 24 2020    0.00    0.00    0.00    0.49    0.00    0.00    0.00    0.00   -0.49   -0.00    0.00    0.00    49.5    0.00
  19 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   -0.00    0.00    0.00    49.5    0.00
